country_code,country_name,region,income_group,reliability,national_ai_exposure,exposure_rank_1_highest,exposure_percentile_100_highest,total_employment_m_workers,white_collar_worker_share,white_collar_ai_exposure,other_worker_ai_exposure,gni_per_capita_ppp,anthropic_claude_usage_per_100k_wap,openai_signals_rank_percentile,microsoft_genai_adoption_pct_wap,remittance_pct_gdp,remittance_accounted_exposure
KGZ,Kyrgyzstan,Europe & Central Asia,Lower middle income,high,0.2401,88,37.9,2.6,0.2340,0.3767,0.1983,7900,10.050,0.556,9.500,17.74,0.3018
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income,high,0.2397,89,37.1,8.6,0.0812,0.3691,0.2283,7360,5.784,0.265,13.100,2.03,0.2380
WSM,Samoa,East Asia & Pacific,Upper middle income,high,0.2394,90,36.4,0.1,0.2664,0.3955,0.1827,8620,,,,24.01,0.3221
LKA,Sri Lanka,South Asia,Lower middle income,high,0.2373,91,35.7,7.8,0.2439,0.4034,0.1838,15240,16.979,0.419,7.300,6.79,0.2998
GEO,Georgia,Europe & Central Asia,Upper middle income,high,0.2370,92,35.0,1.8,0.2910,0.3859,0.1759,26200,56.697,,20.500,11.87,0.3040
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,high,0.2364,93,34.3,4.0,0.1649,0.3792,0.2082,4580,0.780,0.137,7.700,0.01,0.2364
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2364,94,33.6,5.4,0.2384,0.3962,0.1864,14230,22.695,0.590,13.500,6.34,0.3201
TGO,Togo,Sub-Saharan Africa,Low income,high,0.2353,95,32.9,3.3,0.0804,0.3923,0.2216,3380,5.433,0.162,10.100,8.69,0.2574
GTM,Guatemala,Latin America & Caribbean,Upper middle income,high,0.2337,96,32.1,7.6,0.1527,0.4173,0.2007,14170,6.273,0.393,16.400,19.12,0.3187
GMB,Gambia,Sub-Saharan Africa,Low income,high,0.2337,97,31.4,0.6,0.1173,0.3741,0.2151,3430,1.279,,11.400,22.00,0.3159
NPL,Nepal,South Asia,Lower middle income,high,0.2326,98,30.7,7.4,0.1624,0.3827,0.2035,5830,8.210,0.410,14.200,26.23,0.2683
PAN,Panama,Latin America & Caribbean,High income,high,0.2318,99,30.0,1.9,0.2755,0.4086,0.1646,39260,18.827,,23.300,0.61,0.2318
HND,Honduras,Latin America & Caribbean,Lower middle income,high,0.2314,100,29.3,4.0,0.1668,0.3978,0.1981,6900,5.219,0.402,14.000,25.70,0.3167
ALB,Albania,Europe & Central Asia,Upper middle income,high,0.2302,101,28.6,1.2,0.2230,0.3765,0.1882,26500,21.189,,18.500,8.41,0.3156
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,medium,0.2300,102,27.9,0.0,0.1463,0.4028,0.2003,6240,,,,9.75,0.2985
MMR,Myanmar,East Asia & Pacific,Lower middle income,high,0.2293,103,27.1,22.3,0.0818,0.4527,0.2094,5890,,0.179,10.000,1.55,0.2493
BWA,Botswana,Sub-Saharan Africa,Upper middle income,high,0.2282,104,26.4,0.9,0.2457,0.3960,0.1735,20570,9.196,,14.800,0.66,0.2282
KIR,Kiribati,East Asia & Pacific,Lower middle income,high,0.2273,105,25.7,0.0,0.2246,0.3902,0.1801,6060,,,,4.76,0.2971
BEN,Benin,Sub-Saharan Africa,Lower middle income,high,0.2272,106,25.0,5.4,0.0564,0.3868,0.2177,4390,6.948,0.248,10.100,1.10,0.2580
GIN,Guinea,Sub-Saharan Africa,Lower middle income,high,0.2271,107,24.3,3.2,0.0866,0.3763,0.2129,4130,1.340,0.094,10.100,2.46,0.2790
VNM,Viet Nam,East Asia & Pacific,Lower middle income,high,0.2253,108,23.6,53.4,0.1348,0.4227,0.1945,15850,9.220,0.547,26.500,3.36,0.3186
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,high,0.2250,109,22.9,77.6,0.1447,0.3876,0.1975,6100,5.864,0.350,11.400,,0.2250
MWI,Malawi,Sub-Saharan Africa,Low income,high,0.2225,110,22.1,5.0,0.2065,0.3735,0.1833,1830,1.010,0.085,10.900,1.65,0.2173
ECU,Ecuador,Latin America & Caribbean,Upper middle income,high,0.2222,111,21.4,8.3,0.1596,0.4011,0.1882,15410,9.740,0.641,19.500,5.25,0.3101
TJK,Tajikistan,Europe & Central Asia,Lower middle income,high,0.2216,112,20.7,2.3,0.2462,0.3554,0.1779,7100,2.144,0.308,6.100,47.89,0.3001
KHM,Cambodia,East Asia & Pacific,Lower middle income,high,0.2208,113,20.0,9.7,0.1022,0.4211,0.1980,7910,4.134,0.376,5.700,6.10,0.2755
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,high,0.2201,114,19.3,0.1,0.1638,0.4009,0.1847,11000,10.992,,,,0.2201
GHA,Ghana,Sub-Saharan Africa,Lower middle income,high,0.2200,115,18.6,12.0,0.1115,0.3782,0.2002,7720,7.872,0.333,10.100,3.68,0.3037
FSM,Micronesia (Federated States of),East Asia & Pacific,Lower middle income,medium,0.2188,116,17.9,0.0,0.2603,0.3921,0.1578,4690,,,,,
VUT,Vanuatu,East Asia & Pacific,Lower middle income,high,0.2182,117,17.1,0.1,0.1814,0.3936,0.1794,4140,,,,18.75,0.3182
BGD,Bangladesh,South Asia,Lower middle income,high,0.2180,118,16.4,67.8,0.0956,0.3927,0.1996,10060,2.152,0.342,7.800,6.11,0.2633
IND,India,South Asia,Lower middle income,high,0.2166,119,15.7,482.8,0.1389,0.4026,0.1866,11000,6.225,0.359,17.600,3.52,0.3035
SDN,Sudan,Sub-Saharan Africa,Low income,high,0.2128,120,15.0,8.0,0.1037,0.3687,0.1948,2050,,0.068,7.600,1.81,0.2805
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,medium,0.2076,121,14.3,0.4,0.0954,0.3934,0.1880,5040,2.221,,,11.77,0.2801
AGO,Angola,Sub-Saharan Africa,Lower middle income,high,0.2062,122,13.6,13.1,0.0897,0.3747,0.1896,9460,1.875,0.188,10.900,0.05,0.2062
LAO,Lao People's Democratic Republic,East Asia & Pacific,Lower middle income,high,0.2054,123,12.9,3.4,0.0929,0.4299,0.1825,9160,3.320,0.282,7.800,1.49,0.2650
SLE,Sierra Leone,Sub-Saharan Africa,Low income,high,0.2047,124,12.1,3.2,0.0630,0.3663,0.1938,3490,1.164,0.128,10.100,4.60,0.3192
MLI,Mali,Sub-Saharan Africa,Low income,high,0.2001,125,11.4,6.7,0.0461,0.3812,0.1914,3230,,0.060,10.100,3.99,0.2610
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,medium,0.1992,126,10.7,0.4,0.1675,0.3715,0.1646,2680,,,,,0.1992
KEN,Kenya,Sub-Saharan Africa,Lower middle income,medium,0.1988,127,10.0,14.5,0.1345,0.4028,0.1671,6540,9.826,0.368,8.700,4.15,0.3053
BFA,Burkina Faso,Sub-Saharan Africa,Low income,high,0.1977,128,9.3,7.9,0.1279,0.3587,0.1740,2720,3.326,0.120,10.100,2.55,0.2416
COD,"Congo, Democratic Republic of the",Sub-Saharan Africa,Low income,high,0.1969,129,8.6,30.6,0.1077,0.3602,0.1772,1760,,0.051,8.700,2.82,0.2511
ZWE,Zimbabwe,Sub-Saharan Africa,Lower middle income,high,0.1918,130,7.9,4.9,0.1149,0.3724,0.1683,5870,3.919,0.154,8.500,8.45,0.2955
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,medium,0.1893,131,7.1,7.2,0.0870,0.3621,0.1728,2210,,0.222,6.100,1.87,0.2680
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,high,0.1872,132,6.4,7.1,0.0821,0.3795,0.1700,3850,2.653,0.197,13.100,1.32,0.2857
RWA,Rwanda,Sub-Saharan Africa,Low income,high,0.1862,133,5.7,4.9,0.0920,0.3848,0.1661,3620,6.021,0.274,7.200,3.63,0.2093
UGA,Uganda,Sub-Saharan Africa,Low income,high,0.1820,134,5.0,17.9,0.0556,0.3558,0.1718,3190,1.768,0.111,7.600,2.65,0.2573
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,high,0.1788,135,4.3,0.7,0.0674,0.3829,0.1640,3140,,,10.100,9.79,0.3022
ETH,Ethiopia,Sub-Saharan Africa,,high,0.1767,136,3.6,36.5,0.0501,0.3941,0.1653,3280,,0.077,7.600,4.77,0.3126
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,high,0.1748,137,2.9,0.8,0.0961,0.3735,0.1537,3580,1.874,,9.800,20.94,0.2071
TZA,"Tanzania, United Republic of",Sub-Saharan Africa,Lower middle income,high,0.1733,138,2.1,31.0,0.0434,0.3854,0.1637,4130,1.319,0.145,7.600,1.42,0.2769
MDG,Madagascar,Sub-Saharan Africa,Low income,high,0.1662,139,1.4,11.8,0.0508,0.3895,0.1543,1830,2.810,0.214,10.900,2.33,0.3195
MOZ,Mozambique,Sub-Saharan Africa,Low income,high,0.1618,140,0.7,12.2,0.0492,0.3695,0.1511,1520,1.231,0.171,10.900,1.17,0.2676
BDI,Burundi,Sub-Saharan Africa,Low income,high,0.1440,141,0.0,5.0,0.0309,0.3673,0.1369,1200,0.594,0.043,7.600,7.68,0.2086
